"","reth","scheme","sex","year","cause","e0","cause_contribution","cause_contribution_months"
"33","nhb","Masters","female",2015,"Obesity",78.107996370024,-4.37937782093135,-52.5525338511762
"34","nhb","Masters","male",2015,"Obesity",71.7190474589254,-4.93648665212258,-59.237839825471
"35","latinx","Masters","female",2015,"Obesity",84.8104525043823,-3.4733313899745,-41.6799766796941
"36","latinx","Masters","male",2015,"Obesity",80.0390792203371,-4.30268081650377,-51.6321697980452
"37","nhw","Masters","female",2016,"Obesity",81.0688498147077,-2.92754221062201,-35.1305065274641
"38","nhw","Masters","male",2016,"Obesity",76.1991587542719,-3.8735322664094,-46.4823871969128
"39","nhb","Masters","female",2016,"Obesity",77.9696601136623,-4.43890943521335,-53.2669132225602
"40","nhb","Masters","male",2016,"Obesity",71.4393504479836,-4.96777511095567,-59.6133013314681
"41","latinx","Masters","female",2016,"Obesity",84.9136578277131,-3.53424723704144,-42.4109668444973
"42","latinx","Masters","male",2016,"Obesity",80.0348065080726,-4.36289770204243,-52.3547724245092
"43","nhw","Masters","female",2017,"Obesity",81.0178320411286,-2.88884378722307,-34.6661254466768
"44","nhw","Masters","male",2017,"Obesity",76.1414679902183,-3.85705445338643,-46.2846534406371
"45","nhb","Masters","female",2017,"Obesity",78.0777220837473,-4.38663660244133,-52.6396392292959
"46","nhb","Masters","male",2017,"Obesity",71.3188000045829,-5.04546812262232,-60.5456174714679
"47","latinx","Masters","female",2017,"Obesity",84.943524552072,-3.43873375153719,-41.2648050184462
"48","latinx","Masters","male",2017,"Obesity",79.9899144864707,-4.32189343987031,-51.8627212784437
"49","nhw","Masters","female",2018,"Obesity",81.1699850345079,-2.90125585086378,-34.8150702103653
"50","nhw","Masters","male",2018,"Obesity",76.3101125511254,-3.92611409092771,-47.1133690911325
"51","nhb","Masters","female",2018,"Obesity",78.163469915128,-4.44133298971332,-53.2959958765598
"52","nhb","Masters","male",2018,"Obesity",71.3758666219555,-5.11324425280382,-61.3589310336459
"53","latinx","Masters","female",2018,"Obesity",85.1021710819168,-3.35165954897636,-40.2199145877163
