"","reth","sex","year","x","nx","mx","px","qx","lx","dx","Lx","Tx","ex","edx","ex_q025","ex_q975","edx_q025","edx_q975"
"1","nhw","female",2010,0,1,0.00499842577368593,0.995014045568743,0.00498595443125716,1,0.00498595443125716,0.997504945958299,81.0958358509852,81.0958358509852,10.797004612281,81.0679018272521,81.1217791163779,10.7760451045655,10.8174553149819
"2","nhw","female",2010,1,1,0.000409978110645015,0.999590105918897,0.000409894081103257,0.995014045568743,0.000407850367893259,0.994810106450784,80.0983309050269,80.4996987346477,10.4462350784913,80.4763051339367,80.5253156760991,10.42632222854,10.463672020217
"3","nhw","female",2010,2,1,0.000207700547241489,0.999792321021024,0.000207678978976111,0.99460619520085,0.000206558799102585,0.994502912225952,79.1035207985761,79.5325035981723,10.4177071087128,79.5086634293241,79.5589576922778,10.3989682692726,10.4349998690812
"4","nhw","female",2010,3,1,0.000171064323118024,0.999828950307549,0.000171049692450964,0.994399636401747,0.000170091751979906,0.994314588101188,78.1090178863501,78.5489204008451,10.4034525927594,78.5246462126673,78.5750808369153,10.3853625965097,10.4205718906286
"5","nhw","female",2010,4,1,0.000130594996652285,0.999869413530503,0.000130586469496929,0.994229544649767,0.000129832926105355,0.994164626773884,77.1147032982489,77.5622729310602,10.3918787346172,77.5381525030788,77.5883832579107,10.3740540103906,10.4090643393351
"6","nhw","female",2010,5,1,0.000112914635570426,0.999887091739047,0.000112908260952893,0.994099711723662,0.000112242069664426,0.994043589632086,76.120538671475,76.572337536936,10.3831706889155,76.5480168469544,76.5980512093914,10.3653766619566,10.4006945283411
"7","nhw","female",2010,6,1,0.000110080425138194,0.999889925633489,0.00011007436651056,0.993987469653997,0.000109412541041687,0.993932762381065,75.126495081843,75.5809277032377,10.3757525168,75.5567969442878,75.6068237653326,10.3578218362429,10.3936649037785
"8","nhw","female",2010,7,1,9.7781963309929e-05,0.99990222281719,9.77771828095664e-05,0.993878057112956,9.71785964807292e-05,0.993829467022591,74.1325623194619,74.5891930996084,10.3686288965992,74.5658953495937,74.6154609065128,10.3507247470459,10.3861881877321
"9","nhw","female",2010,8,1,0.000119539941994666,0.999880467202619,0.000119532797380528,0.993780878516475,0.000118789408392383,0.993721482629494,73.1387328524393,73.5964380413733,10.3623975158626,73.5733367320105,73.6221366856118,10.3440433447493,10.3797387110746
"10","nhw","female",2010,9,1,9.12033872385273e-05,0.999908800771664,9.1199228336003e-05,0.993662089108083,9.06212157533171e-05,0.993616777810153,72.1450113698098,72.6051765088146,10.3548973217217,72.5817215935252,72.6302864504942,10.3365595906247,10.3724775285605
"11","nhw","female",2010,10,1,0.000101137800252845,0.999898867314002,0.000101132685997984,0.993571467892329,0.000100482551278924,0.993521225770364,71.1513945919997,71.6117530457408,10.349264930353,71.5880974607509,71.6368239677828,10.3308149388461,10.3668054788077
"12","nhw","female",2010,11,1,0.000101637636416765,0.999898367528513,0.000101632471487201,0.99347098534105,0.000100968911591059,0.993420500030485,70.1578733662293,70.618945496576,10.3431188714586,70.5952984081863,70.6445088194867,10.3251743322218,10.3606789615863
"13","nhw","female",2010,12,1,0.000124809507228551,0.999875198281154,0.00012480171884599,0.993370016429459,0.000123974285500483,0.993308027997115,69.1644528661988,69.6260725835088,10.3370427267581,69.6021465230999,69.6523240864867,10.3188879902309,10.3538241917303
"14","nhw","female",2010,13,1,0.000119189084072216,0.999880818018664,0.000119181981335537,0.993246042143959,0.000118377031256389,0.993186852452572,68.1711448382017,68.634700714288,10.3297043005317,68.6111798478096,68.6606437689559,10.3116258350944,10.346465325951
"15","nhw","female",2010,14,1,0.000144724867372533,0.999855285604766,0.000144714395234113,0.993127665112702,0.000143719869447057,0.993055803444684,67.1779579857491,67.6428221120249,10.3228136813283,67.6197785647661,67.6679740226587,10.3045331924154,10.3394166214343
